capr1	74.76210177906496%  2417
capr2 	63.77952755905512%  127
capr3 	74.94866529774127%  487
capr4 	81.06666666666666%  375
capr5 	71.42857142857143%  217
capr6 	85.11235955056179%  356
capr7 	85.92592592592592%  675
capr8 	77.74343122102009%  647
capr9 	79.76314872866597%  2871
capr10	85.45176110260337%  653
capr11	72.61613691931541%  409
*capr12 54.20168067226891% 238*
capr13	74.62514417531719%  867
capr14 	73.52941176470588%  102
capr15	72.34678624813154%  669
capr16	81.90184049079754%  326
capr17	71.1340206185567%   197
capr18	77.4074074074074%   270
capr19	74.89878542510121%  247
capr20	76.42857142857143%  420
capr21	74.89539748953975%  239
capr22	70.62937062937063%  286
capr23	76.37362637362638%  182
capr24	74.43946188340807% 223
capr25 	81.25% 144
